city,startup_count,funding_crore
Bengaluru,972,253827.8
Mumbai,638,122133.83
Delhi,498,47792.6
Gurugram,368,85849.09999999999
Pune,136,13240.93
Chennai,131,20370.76
Hyderabad,131,10072.53
Noida,112,11011.32
Ahmedabad,47,4012.81
Jaipur,45,6952.7
Kolkata,36,6164.34
Indore,18,536.64
Chandigarh,12,405.58
Vadodara,11,64.14
Goa,10,63.64
Haryana,9,5444.780000000001
Kochi,9,239.65
Coimbatore,7,40.15
Bhopal,6,27.58
Kanpur,6,44.82
Thane,5,7921.68
Ghaziabad,4,41.51
Bangaluru,4,13.0
Jodhpur,3,8493.32
Nagpur,3,1.18
Belgaum,3,514.13
Trivandrum,3,166.83
Bhubaneswar,3,271.75
Udupi,2,99.0
Panaji,2,6.81
Patna,2,596.0
Lucknow,2,8.25
Kota,2,0.02
Andheri,2,179.13
Faridabad,2,373.25
Agra,2,0.0
Surat,2,298.9
Cochin,2,25.0
Hubli,2,0.0
Surabardi,1,378.0
Srinagar,1,0.0
Siliguri,1,49.5
Udaipur,1,4.13
Uttar Pradesh,1,0.0
Secunderabad,1,0.0
Varanasi,1,0.43
Tirunelveli,1,42.0
Warangal,1,0.0
Taramani,1,314.16
Thiruvananthapuram,1,0.0
Kancheepuram,1,0.0
Mussoorie,1,2.89
Mohali,1,0.0
Alleppey,1,222.2
Alwar,1,0.0
Amritsar,1,2.48
Anand,1,0.0
Azadpur,1,0.0
Chembur,1,2.64
Dhingsara,1,66.0
Ernakulam,1,0.0
Gaya,1,49.5
Guntur,1,1.31
Gwalior,1,4.13
Kalpakkam,1,2100.0
Kannur,1,0.24
Karur,1,0.0
Kerala,1,0.22
Kozhikode,1,0.0
Kurawar,1,3.0
Worli,1,0.0
